created_at,entry_id,humidity,drection,press,temperature,speed
2021/6/14 9:32,188,70,5,100597,32.2,1.4
2021/6/14 10:07,189,61,2,100531,33.9,2
2021/6/14 10:42,190,60,6,100524,34.5,0.9
2021/6/14 11:18,191,70,7,100537,32,1.1
2021/6/14 11:53,192,70,0,100483,32.4,1
2021/6/14 12:28,193,65,6,100488,33.5,1
2021/6/14 13:03,194,65,0,100439,33.5,0.6
2021/6/14 13:39,195,66,2,100427,33.7,0.5
2021/6/14 14:14,196,66,6,100397,33.5,1.3
2021/6/14 14:49,197,64,3,100379,34,1.6
2021/6/14 15:25,198,72,7,100364,31.3,0.1
2021/6/14 16:00,199,75,0,100342,31,1.8
2021/6/14 16:35,200,77,4,100303,30.3,0.7
2021/6/14 17:10,201,83,5,100293,29.3,1.3
2021/6/14 18:21,202,83,4,100273,29.3,1.2
2021/6/14 18:56,203,83,7,100298,29.2,0.5
2021/6/14 19:32,204,84,5,100326,28.7,0.8
2021/6/14 20:07,205,83,0,100368,28.6,0.5
2021/6/14 20:42,206,84,5,100381,28.5,0
2021/6/14 21:18,207,84,6,100366,28.2,1.3
2021/6/14 21:53,208,84,7,100376,28.3,0.2
2021/6/14 22:28,209,83,1,100418,28.5,0
2021/6/14 23:03,210,83,6,100435,28.5,0
2021/6/14 23:39,211,85,4,100425,28.2,0.6
2021/6/15 0:14,212,84,1,100386,28.1,0
2021/6/15 0:49,213,84,5,100348,28,0.3
2021/6/15 1:25,214,86,1,100284,27.7,0.6
2021/6/15 2:00,215,86,0,100268,27.7,0.7
2021/6/15 2:35,216,86,3,100284,27.7,0.2
2021/6/15 3:11,217,88,0,100273,27.6,0.8
2021/6/15 3:46,218,88,5,100300,27.5,0.7
2021/6/15 4:21,219,89,1,100295,27.3,0
2021/6/15 4:56,220,89,4,100304,27.2,0.3
2021/6/15 5:32,221,89,4,100322,27.5,0.7
2021/6/15 6:07,222,89,2,100331,27.6,0
2021/6/15 6:42,223,88,1,100329,28.1,0.5
2021/6/15 7:18,224,76,2,100370,30.2,0.7
2021/6/15 7:53,225,77,1,100373,31.1,0.5
2021/6/15 8:28,226,68,5,100370,33.2,0.7
2021/6/15 9:04,227,63,7,100350,34.7,0.4
2021/6/15 9:39,228,60,7,100348,32.4,1.1
2021/6/15 10:14,229,59,6,100353,34.7,1.2
2021/6/15 10:49,230,75,2,100369,31.3,1
2021/6/15 11:25,231,71,6,100384,32.9,0.7
2021/6/15 12:00,232,70,2,100327,32.5,1.4
2021/6/15 12:35,233,72,3,100314,32.2,1.4
2021/6/15 13:11,234,65,4,100297,33.4,1.8
2021/6/15 13:46,235,67,0,100250,32.9,0.8
2021/6/15 14:21,236,66,7,100208,33.7,0.7
2021/6/15 14:56,237,62,7,100169,34.7,0.6
2021/6/15 15:32,238,67,1,100166,33.7,0
2021/6/15 16:07,239,69,0,100131,33.2,0.4
2021/6/15 16:42,240,72,4,100131,31.7,0.8
2021/6/15 17:18,241,78,2,100138,30.7,1
2021/6/15 17:53,242,80,7,100176,30.2,1.3
2021/6/15 18:28,243,81,4,100202,29.8,0.9
2021/6/15 19:39,244,83,3,100246,29.2,1.2
2021/6/15 20:14,245,84,0,100298,29,0.5
2021/6/15 20:49,246,84,1,100311,28.7,1.1
2021/6/15 21:25,247,84,7,100352,28.7,0.7
2021/6/15 22:00,248,84,5,100377,28.7,3.1
2021/6/15 22:35,249,85,4,100403,28.6,1.9
2021/6/15 23:11,250,85,0,100401,28.6,0
2021/6/15 23:46,251,85,7,100398,28.5,0.7
2021/6/16 0:21,252,85,3,100377,28.3,0.3
2021/6/16 0:57,253,87,1,100361,28.2,0.7
2021/6/16 1:32,254,87,5,100349,28.1,0.8
2021/6/16 2:07,255,87,6,100331,28,1.3
2021/6/16 2:42,256,87,4,100338,28,0.8
2021/6/16 3:18,257,88,4,100335,27.8,0.7
2021/6/16 3:53,258,88,0,100351,27.8,0
2021/6/16 5:04,259,89,4,100390,27.8,0.6
2021/6/16 5:39,260,89,6,100424,27.7,0.9
2021/6/16 6:14,261,89,5,100461,27.8,2.1
2021/6/16 6:50,262,87,5,100508,28.6,0.2
2021/6/16 7:25,263,87,1,100528,28.6,0.4
2021/6/16 8:00,264,85,4,100543,29.2,0.8
2021/6/16 8:35,265,84,6,100562,30,0.9
2021/6/16 9:11,266,87,0,100579,29.1,0.5
2021/6/16 9:46,267,80,6,100600,31.2,0.2
2021/6/16 10:21,268,74,4,100582,32.4,1.5
2021/6/16 10:57,269,69,4,100558,34,0.7
2021/6/16 11:32,270,69,6,100529,33,3.5
2021/6/16 12:07,271,72,2,100549,32,3.4
2021/6/16 12:43,272,72,6,100538,31,1.4
2021/6/16 13:18,273,71,6,100485,32.5,0.7
2021/6/16 13:53,274,69,4,100463,33,0.2
2021/6/16 14:28,275,68,6,100427,33.5,1.9
2021/6/16 15:04,276,66,6,100434,34.2,3
2021/6/16 15:39,277,74,4,100419,31.7,3.7
2021/6/16 16:14,278,75,6,100425,31.7,0.7
2021/6/16 16:50,279,77,3,100411,30.7,0.7
2021/6/16 17:25,280,78,3,100427,30.7,0.4
2021/6/16 18:00,281,78,0,100458,30.5,0.6
2021/6/16 18:35,282,82,6,100482,29.8,0.3
2021/6/16 19:11,283,83,3,100477,29.3,1.4
2021/6/16 19:46,284,84,6,100482,29.1,1.4
2021/6/16 20:21,285,85,7,100523,29,0.4
2021/6/16 20:57,286,87,2,100582,28.8,0.4
2021/6/16 21:32,287,87,5,100609,28.7,1.2
2021/6/16 22:07,288,87,6,100651,28.7,0.1
2021/6/16 22:43,289,88,2,100668,28.7,0
2021/6/16 23:18,290,89,4,100662,28.6,0.2
2021/6/16 23:53,291,87,6,100657,28.5,0.8
2021/6/17 0:28,292,87,3,100661,28.5,0.7
2021/6/17 1:04,293,88,7,100643,28.2,0.3
2021/6/17 1:39,294,89,4,100645,28.1,0.5
2021/6/17 2:14,295,89,3,100616,28,1
2021/6/17 2:50,296,90,3,100604,27.8,0.9
2021/6/17 3:25,297,90,5,100601,27.7,0.7
2021/6/17 4:00,298,90,2,100601,27.7,0.1
2021/6/17 4:36,299,90,6,100614,27.7,0.8
2021/6/17 5:11,300,91,2,100639,27.6,0
2021/6/17 5:46,301,91,4,100664,27.6,0.9
2021/6/17 6:21,302,90,7,100699,27.7,0.7
2021/6/17 6:57,303,85,7,100693,29.2,0.7
2021/6/17 7:32,304,82,5,100722,30.3,0.4
2021/6/17 8:43,305,69,0,100699,34.2,0.7
2021/6/17 9:18,306,68,2,100703,34.5,2.7
2021/6/17 9:53,307,60,0,100702,33,1.3
2021/6/17 10:29,308,65,3,100697,34.5,1.4
2021/6/17 11:04,309,64,1,100675,34.5,1
2021/6/17 11:39,310,66,4,100657,33.7,0.4
2021/6/17 12:14,311,67,4,100646,33.7,0.1
2021/6/17 12:50,312,69,6,100605,32.7,2.2
2021/6/17 13:25,313,70,6,100573,32.9,1.9
2021/6/17 14:00,314,64,4,100565,34,1.9
2021/6/17 14:36,315,60,4,100537,34.5,4.9
2021/6/17 15:11,316,66,6,100529,33.2,0.9
2021/6/17 15:46,317,66,0,100514,33.5,1.3
2021/6/17 16:57,318,74,3,100483,32,0.7
2021/6/17 17:32,319,75,2,100514,31.5,1.2
2021/6/17 18:07,320,78,3,100548,30.7,0.4
2021/6/17 18:43,321,80,5,100586,30.3,0.8
2021/6/17 19:18,322,82,5,100616,29.7,1.8
2021/6/17 19:53,323,84,6,100643,29.5,1
2021/6/17 20:29,324,84,1,100684,29.2,0.6
2021/6/17 21:04,325,85,2,100687,29.1,2.1
2021/6/17 21:39,326,85,7,100721,29.1,0
